f,Ydd_c,Ydq_c,Yqd_c,Yqq_c,Ydd_g,Ydq_g,Yqd_g,Yqq_g
1,1.47028732803268e-06+0.000690182416451459i,-0.000338420043953192+1.82398672410492e-05i,-9.36024018334453e-05-0.21920656714216i,-0.00219469243094226-0.000687404179359005i,0.00105315067237711+0.000141405612460876i,-0.00736589560152596+4.12623839334776e-05i,0.00736589564921351-4.1262371084677e-05i,0.00105315061672466+0.000141405535533805i
2,1.75568385668368e-06+0.00034734989528931i,-0.000344894261767927+8.49890835289785e-06i,-9.70612855053245e-05-0.109603602205342i,-0.00109958448478166-0.00033650231967032i,0.00105677436015098+0.000283103651640396i,-0.00737387491262772+8.27113880907119e-05i,0.00737387499126585-8.27114193460418e-05i,0.00105677433006547+0.000283103524756787i
3,2.18250179588278e-06+0.000233844873174763i,-0.000351278136575099+5.73637629861912e-06i,-9.82189422820412e-05-0.073069426722982i,-0.000734393248459915-0.000214864336426352i,0.00106284385594677+0.000425388303474913i,-0.00738720865967044+0.00012453594726618i,0.00738720864440174-0.000124535913499093i,0.00106284384559083+0.000425388327475208i
4,2.70159594101074e-06+0.000177415293603616i,-0.000359121067229072+5.68121466652387e-06i,-9.8802995951602e-05-0.0548024482547806i,-0.000551657821442807-0.000150630504595452i,0.00107140469370537+0.000568557574153036i,-0.00740594926093717+0.000166928841488518i,0.00740594916955945-0.000166928859498003i,0.00107140468419231+0.000568557599995349i
5,3.23497386323467e-06+0.000143536938736327i,-0.00036861916875419+7.80136263000549e-06i,-9.91589498080265e-05-0.0438423484522917i,-0.000441885459847236-0.000109374031515676i,0.00108252140138842+0.000712914838269014i,-0.00743017089268686+0.000210089414716305i,0.00743017084664357-0.000210089438588829i,0.00108252140707026+0.000712914895322802i
6,3.67686146023288e-06+0.000120650094138804i,-0.000379685655285816+1.22125411797011e-05i,-9.94019811792799e-05-0.0365356878679721i,-0.00036857384667773-7.96115273652677e-05i,0.00109627898686491+0.000858770762737402i,-0.00745997001448124+0.000254225480856011i,0.007459970078256-0.000254225454350526i,0.00109627891539193+0.000858770746571048i
7,3.89225146068947e-06+0.000103770964433676i,-0.000392083172148258+1.92242152907927e-05i,-9.95814529602081e-05-0.0313167067238722i,-0.000316077470624043-5.64202528990788e-05i,0.00111278329742814+0.0010064452523731i,-0.00749546631261961+0.000299556032434454i,0.00749546630457235-0.000299556052722017i,0.00111278335433561+0.00100644534734799i
8,3.71660955020094e-06+9.04021550915291e-05i,-0.000405438816065354+2.92099296745073e-05i,-9.9722045416211e-05-0.027402525115228i,-0.000276572984034691-3.73387391341264e-05i,0.00113216423945585+0.00115627016187282i,-0.00753680345351573+0.000346313943734569i,0.00753680339534324-0.000346314034598477i,0.00113216427474975+0.00115627004924531i
9,2.95852750404204e-06+7.9178161352428e-05i,-0.00041923498173423+4.25395139912556e-05i,-9.98374670674403e-05-0.0243582097469726i,-0.000245713864312226-2.0999669542184e-05i,0.00115457648034881+0.00130859034774529i,-0.00758415030873305+0.000394749254239367i,0.0075841503363183-0.000394749163640361i,0.0011545764985192+0.00130859020737387i
10,1.40717504223048e-06+6.93322013912679e-05i,-0.000432799974347357+5.95189491527227e-05i,-9.99359398364619e-05-0.0219228006288299i,-0.000220892123777782-6.58288318069841e-06i,0.00118020262750092+0.0014637668269474i,-0.00763770285959919+0.000445131248514999i,0.00763770283642575-0.000445131379894361i,0.00118020259401382+0.00146376685771084i
11,-1.15370098877601e-06+6.046076177893e-05i,-0.000445311683966713+8.03242898962122e-05i,-0.000100022692901258-0.0199302323011384i,-0.000200448124323162+6.43330069764884e-06i,0.00120925609333968+0.00162217971024902i,-0.00769768562432016+0.000497754568413804i,0.00769768561986716-0.000497754625585641i,0.00120925612222097+0.00162217973650212i
12,-4.92424190816474e-06+5.24086594073731e-05i,-0.000455825605737286+0.000104930325779571i,-0.000100101207906704-0.0182697944469541i,-0.000183275464079591+1.83964369285418e-05i,0.00124198545416068+0.00178422961264861i,-0.00776435337813298+0.000552941377510956i,0.00776435338806849-0.000552941486238395i,0.00124198547283834+0.00178422960788248i
13,-1.00601816117732e-05+4.5203314438289e-05i,-0.000463335856088793+0.000133044051617436i,-0.000100173893537669-0.0168648414526723i,-0.000168608218522092+2.95469231787362e-05i,0.00127867812455786+0.00195034167094869i,-0.00783799395568766+0.000611047828552939i,0.00783799400463473-0.000611047854562099i,0.00127867817337149+0.00195034161133224i
14,-1.66413628268352e-05+3.90050653950306e-05i,-0.000466871237562392+0.000164060292995042i,-0.000100242465715929-0.0156606264433797i,-0.000155899351943996+4.00562715954857e-05i,0.00131966611843939+0.00212096774053779i,-0.00791893020548597+0.000672469077268138i,0.00791893026906711-0.000672469133527501i,0.00131966620096041+0.00212096777460819i
15,-2.46437364709833e-05+3.40575353401265e-05i,-0.000465617171499441+0.000197059657931282i,-0.000100308181113253-0.0146170017035722i,-0.000144747764677225+5.00500736186627e-05i,0.00136533256810133+0.00229659135011417i,-0.008007523151038+0.000737646796640096i,0.00800752324943454-0.000737646765003099i,0.00136533253335401+0.00229659136457334i
16,-3.39233233360412e-05+3.06329043641757e-05i,-0.000459041086726446+0.000230863855425338i,-0.000100371979750938-0.0137038564393078i,-0.000134852692098004+5.96223533120189e-05i,0.00141611878394153+0.00247772934437712i,-0.00810417535382245+0.00080707667400042i,0.00810417534895632-0.000807076788621393i,0.00141611881706916+0.00247772935124664i
17,-4.42194846452414e-05+2.89753893415145e-05i,-0.000446989748518516+0.00026414905398642i,-0.00010043457850633-0.0128981647424875i,-0.000125984197552413+6.88448536210293e-05i,0.00147253439171701+0.00266493739633415i,-0.00820933359795379+0.000881318650726896i,0.00820933356904538-0.000881318584353827i,0.00147253438182741+0.00266493734303974i
18,-5.51800318015573e-05+2.92519046741152e-05i,-0.000429728724913865+0.000295598404902817i,-0.000100496532909187-0.0121820175670497i,-0.000117963500789629+7.77732266586998e-05i,0.00153516743563103+0.00285881336950336i,-0.00832349339022893+0.000961007093568324i,0.00832349339403005-0.000961007212260449i,0.00153516736744607+0.00285881334055267i
19,-6.64037475386343e-05+3.15199554502375e-05i,-0.000407909062212146+0.000324059061970327i,-0.00010055827957951-0.0115412761853266i,-0.000110649518389838+8.64512696812177e-05i,0.00160469784309024+0.00306000231107431i,-0.00844720291942841+0.00104686604942711i,0.00844720288396136-0.00104686583512673i,0.0016046977976693+0.00306000243364789i
20,-7.74900471887907e-05+3.5718874745994e-05i,-0.000382468909923655+0.000348665851157915i,-0.000100620166221135-0.010964629608755i,-0.000103929443532417+9.491388900892e-05i,0.0016819141050024+0.00326920050546454i,-0.00858106690798457+0.00113972374199236i,0.00858106681772479-0.00113972370007386i,0.00168191405985799+0.00326920048244885i
21,-8.80836989992471e-05+4.16836757645061e-05i,-0.000354497544465741+0.000368905525694165i,-0.000100682471328677-0.0104429213166558i,-9.7712015800024e-05+0.00010318921771748i,0.00176773145490248+0.00348716101020085i,-0.00872575134347403+0.0012405331751953i,0.00872575131035172-0.00124053313600911i,0.00176773140064486+0.00348716099796103i
22,-9.79054566297729e-05+4.91745833786869e-05i,-0.000325096892401033+0.000384616041267442i,-0.000100745420279657-0.00996865960378166i,-9.19226288245317e-05+0.000111300156869856i,0.00186321625772642+0.00371469723944212i,-0.00888198774312493+0.00135039582724664i,0.00888198775988969-0.00135039584397231i,0.00186321628776604+0.00371469720704203i
23,-0.000106765133842141+5.79125224380832e-05i,-0.000295269571391354+0.000395934212532423i,-0.000100809196160845-0.00953565566482899i,-8.64997128880909e-05+0.000119265513578942i,0.00196961456570465+0.00395268801503337i,-0.00905057694600439+0.00147059016754642i,0.00905057695321685-0.0014705901525143i,0.00196961453492943+0.00395268800452048i
25,-0.000121257133633101+7.80054461904711e-05i,-0.000237466956282186+0.000406945364192765i,-0.000100939799643708-0.0087736169056458i,-7.6556575618034e-05+0.000134819164501949i,0.00222125111530453+0.00446389256456203i,-0.00942838168200748+0.00174819374901971i,0.00942838162359931-0.00174819382659742i,0.00222125129724507+0.00446389268593735i
26,-0.000126884882702471+8.88593745240193e-05i,-0.000210564589649972+0.000407668914623326i,-0.000101006849881581-0.00843658422326865i,-7.1957064439296e-05+0.000142431327678578i,0.0023702374089837+0.00473921165288635i,-0.00963956543159679+0.00190940568506229i,0.00963956544199232-0.0019094057971039i,0.00237023744806467+0.00473921169303547i
28,-0.000135203943600187+0.000111214591407195i,-0.000162132560597907+0.000402232089815734i,-0.000101144862011007-0.0078347821361337i,-6.33468625290874e-05+0.000157372584020218i,0.00272665757998473+0.00533503371804465i,-0.010111929873744+0.00228888614167148i,0.0101119299313245-0.00228888629763346i,0.00272665761955868+0.0053350336545337i
30,-0.000140214886495657+0.000133592354382862i,-0.000121253729243736+0.000390695219217323i,-0.000101288479814513-0.00731327181598468i,-5.53637005358722e-05+0.00017198281278207i,0.00318303233728062+0.00599926542463899i,-0.0106587339132237+0.00276661315551183i,0.0106587339097149-0.00276661325374035i,0.00318303238177266+0.00599926540842393i
32,-0.000142659819385116+0.00015540876147721i,-8.74352889717922e-05+0.00037586800403511i,-0.000101438030299187-0.00685699765414322i,-4.78602177347999e-05+0.000186304565210452i,0.00377598534136319+0.00674136344891754i,-0.0112890075464211+0.00337936671157747i,0.0112890075642226-0.003379366667356i,0.00377598527542516+0.00674136342742241i
34,-0.000143175974612814+0.000176407338148628i,-5.97062163535763e-05+0.000359618850184803i,-0.000101593721285354-0.00645444649426667i,-4.07246393125321e-05+0.000200369408120337i,0.00455917156400129+0.00756778760623086i,-0.0120088221089935+0.00418093739989304i,0.0120088220845244-0.00418093740864742i,0.00455917144174252+0.00756778768188343i
36,-0.000142259264181901+0.000196517939564029i,-3.70129302493844e-05+0.000343099985337832i,-0.000101755672771111-0.00609666361997917i,-3.38709261824438e-05+0.000214201025584374i,0.0056120627750488+0.00847539433766625i,-0.0128146779848647+0.00525091426569172i,0.0128146780503421-0.00525091423183662i,0.00561206282339158+0.00847539431299378i
39,-0.000138971795322726+0.000225083988664921i,-1.03571014067067e-05+0.000319182726161713i,-0.000102010443823641-0.00562886172749216i,-2.39761954692154e-05+0.000234549164867919i,0.00796836847753789+0.00991291422217505i,-0.014107968041989+0.00763062405753547i,0.0141079680677644-0.00763062412929333i,0.0079683684863825+0.00991291421282372i
41,-0.000135862645614306+0.000243162399705615i,3.61258002016691e-06+0.000304255456774956i,-0.000102188178440781-0.00535506837460258i,-1.75640954554604e-05+0.000247867093110634i,0.0103242528028057+0.0107518771136088i,-0.0148559264820645+0.0100007434087556i,0.0148559265297907-0.0100007433948032i,0.0103242527323451+0.0107518771462188i
44,-0.000130225869606978+0.000269026744043424i,2.03320455357364e-05+0.000283659147593565i,-0.000102466483072808-0.00499110418225715i,-8.12858325059068e-06+0.000267495741666478i,0.0155693660447936+0.0109624378336272i,-0.0149369365786206+0.0152653310204725i,0.0149369365044016-0.0152653310123698i,0.0155693659952059+0.0109624378031674i
47,-0.000123726673833238+0.000293600308738062i,3.32428662660213e-05+0.000265215134549155i,-0.000102758565461165-0.00467366459879356i,1.17087689212795e-06+0.000286725693666458i,0.0224953120871709+0.00746098004285522i,-0.0113132994579161+0.0222088354525317i,0.0113132995303492-0.0222088354603639i,0.0224953120031833+0.00746097995103969i
50,-0.000116585615817753+0.000317081955124659i,4.33771914216972e-05+0.000248766664975625i,-0.000103064032463654-0.00439437257887989i,1.04037175038262e-05+0.00030557199417321i,0.0264294162347128-0.00186862256646127i,-0.00186808058118929+0.0261594245742555i,0.00186808039498903-0.0261594245707232i,0.0264294158992082-0.00186862254886051i
52,-0.000111539017089643+0.000332207933820749i,4.89571479777648e-05+0.00023880327333818i,-0.00010327488242548-0.00422610923749675i,1.65472810299219e-05+0.000317928174240153i,0.0245125116361637-0.00865883165812134i,0.00499545782490512+0.0242532735317981i,-0.0049954577811808-0.0242532735704014i,0.0245125115842955-0.0086588316532059i
53,-0.00010894130731797+0.000339626740997069i,5.14573111685249e-05+0.000234097231689268i,-0.00010338241174828-0.00414674769249059i,1.96199907233034e-05+0.000324044700036994i,0.0224787967221878-0.0112015134904807i,0.00757362775111176+0.0222248172647729i,-0.00757362766668088-0.0222248173170758i,0.0224787966167587-0.0112015136485333i
56,-0.00010088404488603+0.000361353142781687i,5.79939630118762e-05+0.00022098531587757i,-0.0001037131719725-0.00392569811580113i,2.88555220716571e-05+0.000342150487404314i,0.015536503341714-0.0147128621829776i,0.0111869822714041+0.0152974544319493i,-0.0111869823150992-0.0152974545347469i,0.0155365033852409-0.0147128621439826i
60,-8.96023436897394e-05+0.000389200960135911i,6.49261632836748e-05+0.000205575667728882i,-0.000104172442544278-0.00366541077137806i,4.12418864414523e-05+0.000365728171985324i,0.00899432613750097-0.0141363099151403i,0.0107373597559117+0.00877295834186995i,-0.010737359802171-0.00877295834685683i,0.00899432613265446-0.0141363099075856i
64,-7.77949658678324e-05+0.000415907759579833i,7.03592881738139e-05+0.000192157085919374i,-0.000104651237668139-0.00343771871766649i,5.37447536310097e-05+0.000388667848058393i,0.00553409520168518-0.0122854363333732i,0.00900453714647007+0.00532825870847593i,-0.0090045370817953-0.00532825871057322i,0.00553409525507462-0.0122854363111991i
68,-6.55335951185627e-05+0.000441583562804836i,7.46991758123014e-05+0.000180388516643883i,-0.000105148029245263-0.00323686483026664i,6.63844775617925e-05+0.000410973645184969i,0.00367340788046463-0.0106004383660467i,0.00742972352696499+0.00348140530635698i,-0.00742972359076306-0.00348140537839466i,0.00367340797122782-0.0106004384024485i
