f,Ydd_c,Ydq_c,Yqd_c,Yqq_c,Ydd_g,Ydq_g,Yqd_g,Yqq_g
1,-2.05820927404381e-06-0.00208099878098393i,0.000283196277098135+0.207801512214685i,-5.07283853044186e-05+5.00540158773851e-06i,-0.000177299808538679-0.000831659703377109i,0.00105309752936172-0.000141420865421702i,0.00736591119949215+4.12658304845462e-05i,-0.00736591122919517-4.1264739246943e-05i,0.00105309752279476-0.000141420318145093i
2,-4.870437542577e-06-0.00104894874300037i,0.00028203564138657+0.103900053422405i,-6.26055778447089e-05+3.01355810248897e-06i,-5.34900562572824e-05-0.000139791723162312i,0.00105672084321308-0.000283135953102048i,0.00737389068156893+8.27169858868706e-05i,-0.00737389071129526-8.27164405931277e-05i,0.00105672083653316-0.00028313567862021i
3,-6.49426131625623e-06-0.000710550672012409i,0.000281366632067686+0.0692663589485792i,-5.59700634088258e-05+2.5038487392983e-06i,3.43589828436688e-05+4.14605608796511e-05i,0.00106278969347242-0.000425437458636263i,0.00738722464192832+0.000124543941082088i,-0.00738722467171752-0.000124543577906673i,0.00106278968680662-0.000425437274703033i
4,-7.20510053770636e-06-0.000545430512406873i,0.00028128426427022+0.0519500711545282i,-6.33776958917981e-05+2.10123590660832e-06i,4.32316060635132e-05+3.29781795490734e-05i,0.00107134955081162-0.000568623576829868i,0.00740596562604107+0.000166939390658044i,-0.00740596565589454-0.000166939118659327i,0.00107134954405041-0.000568623437883307i
5,-7.49325158856341e-06-0.000449439824278546i,0.000281541077481685+0.0415606390048937i,-6.50188194628782e-05+1.28709575738161e-06i,2.55622325909361e-06-2.42974458725236e-05i,0.00108246504493411-0.000712997736086076i,0.00743018782150935+0.000210102548779068i,-0.00743018785145828-0.000210102331575994i,0.00108246503810923-0.000712997623900278i
6,-7.52073780775281e-06-0.000387960302997502i,0.000281714101643412+0.0346343572086288i,-6.7780688090877e-05-1.13207642583129e-07i,-2.53270468390363e-05-5.3085728110166e-05i,0.00109622096598681-0.000858870699775481i,0.00745998769059947+0.000254241303397744i,-0.00745998772066284-0.000254241122806215i,0.00109622095907693-0.000858870605238141i
7,-7.36029108560342e-06-0.000346177054761161i,0.000281603622971574+0.0296869059612801i,-7.48501858605484e-05-2.33033409657541e-06i,-1.01510273267186e-05-4.30593945402568e-05i,0.00111272359467637-0.00100656258138826i,0.00749548479588692+0.00029957468039392i,-0.00749548482607736-0.000299574526027671i,0.00111272358763448-0.00100656249929813i
8,-7.11790817634296e-06-0.000316677516521955i,0.000281389281714295+0.025976296258276i,-7.67062102438463e-05-5.41334648180977e-06i,2.09859358147999e-05-2.4002457680248e-05i,0.00113210239681655-0.00115640493750069i,0.0075368228279583+0.000346335556232033i,-0.00753682285830525-0.0003463354215953i,0.00113210238966783-0.00115640486459989i
9,-6.75466831651226e-06-0.000295366920853011i,0.000281329498438053+0.0230903720372107i,-8.39825666775363e-05-9.76644280233698e-06i,2.86598854442541e-05-2.23558677444835e-05i,0.00115451212792397-0.00130874297589504i,0.00758417084671671+0.00039477366852881i,-0.00758417087723534-0.000394773549305379i,0.00115451212061423-0.00130874291001617i
10,-6.33733089311387e-06-0.000279774772812282i,0.000281446256629088+0.0207817541573929i,-8.82893173006005e-05-1.52439527109217e-05i,9.35332933598798e-06-3.70272321544749e-05i,0.00118013540421825-0.00146393790422299i,0.00763772474878812+0.000445158993885053i,-0.00763772477950188-0.000445158887047868i,0.00118013539675676-0.00146393784384539i
11,-5.85556168814275e-06-0.000268337731219988i,0.000281545580607669+0.0188929136483017i,-9.24554279641757e-05-2.20313077625045e-05i,-7.41816651299046e-06-4.85107301854088e-05i,0.00120918581322454-0.00162236944288656i,0.00769770897605323+0.000497785576810153i,-0.0076977090069847-0.000497785480163801i,0.00120918580559603-0.00162236938690351i
12,-5.30096445122421e-06-0.000260011199191804i,0.000281488218190859+0.0173188304623864i,-9.84790440404524e-05-3.05115815922577e-05i,-3.95638387177165e-07-4.4201940752451e-05i,0.00124191165256155-0.00178443852572217i,0.00776437848117641+0.000552975909750928i,-0.00776437851234117-0.000552975821653436i,0.00124191164473508-0.00178443847330922i
13,-4.71933426706563e-06-0.000254074216703509i,0.000281361946830212+0.0159868882938493i,-9.98265607347981e-05-3.97194462430985e-05i,1.70455594633035e-05-3.18879740133294e-05i,0.00127860040765777-0.00195057021156806i,0.00783802096598493+0.000611085984105427i,-0.00783802099741227-0.000611085903289986i,0.00127860039965209-0.00195057016207652i
14,-4.06933156283233e-06-0.000250008600079829i,0.000281335901876124+0.0148452855350972i,-0.00010348022510692-5.0774159832798e-05i,1.907198662663e-05-2.81623138526865e-05i,0.00131958410589766-0.00212121682896063i,0.00791895940987951+0.000672511157257313i,-0.00791895944158918-0.000672511082742982i,0.00131958409767647-0.00212121678189022i
15,-3.39146669259704e-06-0.000247441518468208i,0.000281433380561958+0.0138559915906818i,-0.000103428210853481-6.22321000681991e-05i,2.11249909684367e-06-3.72301571248486e-05i,0.00136524571533676-0.00229686137365835i,0.00800755490182175+0.000737693011690303i,-0.00800755493384191-0.000737692942686356i,0.00136524570690912-0.00229686132859196i
16,-2.67353521518265e-06-0.000246089837460286i,0.000281524723596587+0.0129903887664763i,-0.000101622531288034-7.41495710969188e-05i,-1.40233814870383e-05-4.64257697446672e-05i,0.00141602679843742-0.00247802117406479i,0.0081042097870009+0.000807127421750422i,-0.00810420981935831-0.000807127357617818i,0.00141602678979816-0.00247802113066309i
17,-1.90575111894192e-06-0.000245734906560174i,0.000281515770368928+0.0122265770157264i,-9.96197756321534e-05-8.68092702320482e-05i,-1.4941567463974e-05-4.37740392538045e-05i,0.00147243667909511-0.00266525183150372i,0.00820937112975578+0.00088137409267547i,-0.008209371162479-0.000881374032897345i,0.00147243667022128-0.00266525178948281i
